customer_id,rec_1,rec_2,rec_3,rec_4,rec_5
WMT_16949,Great Value American Cheese Slices 16oz,,,,
WMT_42933,Great Value Sugar Granulated 4lb,,,,
WMT_22984,Lemon each,,,,
WMT_12830,Cucumber each,Kraft Mac and Cheese Original 7.25oz,Heinz Tomato Ketchup 32oz,,
WMT_09943,Russet Potatoes 5lb Bag,,,,
WMT_31558,Great Value Frozen French Fries 32oz,,,,
WMT_41198,Great Value Long Grain White Rice 5lb,,,,
WMT_18145,Hunts Diced Tomatoes 14.5oz,Heinz Tomato Ketchup 32oz,,,
WMT_22991,Russet Potatoes 5lb Bag,,,,
WMT_33543,Yellow Onion 3lb Bag,Great Value American Cheese Slices 16oz,Great Value Whole Milk 1 Gal,,
WMT_13215,Cucumber each,Kraft Mac and Cheese Original 7.25oz,,,
WMT_30899,Celery Stalk bunch,Great Value Extra Virgin Olive Oil 17oz,,,
WMT_12020,Heinz Tomato Ketchup 32oz,,,,
WMT_39055,Green Bell Pepper each,,,,
WMT_14260,Avocado Hass each,,,,
WMT_36284,Baby Carrots 1lb Bag,Great Value Greek Yogurt Plain 32oz,Marketside Fresh Mozzarella 8oz,,
WMT_34730,Lemon each,,,,
WMT_02940,Marketside Baby Spinach 5oz,Great Value All Purpose Flour 5lb,,,
WMT_29110,Marketside Baby Spinach 5oz,,,,
WMT_39924,Great Value Canola Oil 48oz,,,,
WMT_12950,Lemon each,Great Value Dish Soap Original 24oz,,,
WMT_05343,Marketside Baby Spinach 5oz,,,,
WMT_41873,Marketside Organic Bananas 3lb,Campbells Tomato Soup 10.75oz,,,
WMT_39890,Roma Tomatoes per lb,Great Value Penne Pasta 16oz,,,
WMT_42149,Great Value Unsalted Butter 1lb,,,,
WMT_37672,Great Value Greek Yogurt Plain 32oz,,,,
WMT_47454,Green Bell Pepper each,,,,
WMT_05384,Great Value Sugar Granulated 4lb,,,,
WMT_06411,Great Value Canola Oil 48oz,,,,
WMT_45726,Kraft Mac and Cheese Original 7.25oz,Great Value Frozen Broccoli Florets 12oz,,,
WMT_47496,Great Value Penne Pasta 16oz,Great Value Long Grain White Rice 5lb,,,
WMT_28222,Celery Stalk bunch,,,,
WMT_21874,Avocado Hass each,,,,
WMT_48384,Kraft Mac and Cheese Original 7.25oz,Marketside Baby Spinach 5oz,Yellow Onion 3lb Bag,,
WMT_04252,Garlic Bulb 3-Pack,Great Value Canola Oil 48oz,,,
WMT_02061,Great Value Dish Soap Original 24oz,,,,
WMT_49693,Celery Stalk bunch,,,,
WMT_42794,Great Value Penne Pasta 16oz,,,,
WMT_43555,Broccoli Crowns per lb,,,,
WMT_14161,Yellow Onion 3lb Bag,,,,
WMT_17304,Marketside Organic Bananas 3lb,,,,
WMT_17230,Garlic Bulb 3-Pack,Great Value Chicken Broth 32oz,,,
WMT_45639,Avocado Hass each,,,,
WMT_33191,Marketside Baby Spinach 5oz,,,,
WMT_44481,Roma Tomatoes per lb,,,,
WMT_49883,Heinz Tomato Ketchup 32oz,,,,
WMT_43668,Cucumber each,,,,
WMT_46428,Green Bell Pepper each,Great Value Extra Virgin Olive Oil 17oz,Great Value Frozen French Fries 32oz,,
WMT_47931,Cucumber each,Campbells Tomato Soup 10.75oz,Great Value Canola Oil 48oz,Daisy Sour Cream 16oz,
WMT_29411,Philadelphia Original Cream Cheese 8oz,,,,
WMT_36520,Daisy Sour Cream 16oz,,,,
WMT_49839,Green Bell Pepper each,Cucumber each,,,
WMT_09910,Great Value Extra Virgin Olive Oil 17oz,Heinz Tomato Ketchup 32oz,Great Value Whole Milk 1 Gal,,
WMT_24951,Marketside Organic Bananas 3lb,Great Value Canola Oil 48oz,Marketside Shredded Cheddar 8oz,,
WMT_39939,Yellow Onion 3lb Bag,Philadelphia Original Cream Cheese 8oz,,,
WMT_01414,Celery Stalk bunch,,,,
WMT_12085,Lemon each,Great Value All Purpose Flour 5lb,,,
WMT_26454,Green Bell Pepper each,Marketside Organic Bananas 3lb,,,
WMT_18235,Marketside Organic Bananas 3lb,,,,
WMT_03601,Great Value Canola Oil 48oz,,,,
WMT_44659,Roma Tomatoes per lb,Heinz Tomato Ketchup 32oz,,,
WMT_13957,Great Value Penne Pasta 16oz,,,,
WMT_45242,Baby Carrots 1lb Bag,Great Value Large Eggs 12ct,,,
WMT_28956,Roma Tomatoes per lb,,,,
WMT_03252,Great Value Large Eggs 12ct,,,,
WMT_46506,Green Bell Pepper each,,,,
WMT_16062,Russet Potatoes 5lb Bag,,,,
WMT_23869,Cucumber each,,,,
WMT_41749,Marketside Organic Bananas 3lb,,,,
WMT_04623,Great Value 80/20 Ground Beef 1lb,,,,
WMT_38523,Hunts Diced Tomatoes 14.5oz,,,,
WMT_24977,Marketside Baby Spinach 5oz,,,,
WMT_29686,Baby Carrots 1lb Bag,,,,
WMT_36667,Great Value Spaghetti 16oz,,,,
WMT_43447,Green Bell Pepper each,,,,
WMT_41524,Russet Potatoes 5lb Bag,,,,
WMT_08046,Marketside Organic Bananas 3lb,Hunts Diced Tomatoes 14.5oz,,,
WMT_25480,Great Value Penne Pasta 16oz,,,,
WMT_05028,Russet Potatoes 5lb Bag,Great Value American Cheese Slices 16oz,,,
WMT_22402,Heinz Tomato Ketchup 32oz,,,,
WMT_34535,Kraft Mac and Cheese Original 7.25oz,,,,
WMT_02087,Roma Tomatoes per lb,Great Value Chicken Broth 32oz,,,
WMT_43372,Baby Carrots 1lb Bag,Russet Potatoes 5lb Bag,,,
WMT_11730,Avocado Hass each,,,,
WMT_03224,Marketside Organic Bananas 3lb,,,,
WMT_24258,Avocado Hass each,,,,
WMT_48360,Great Value 2% Reduced Fat Milk 1 Gal,,,,
WMT_17434,Garlic Bulb 3-Pack,Great Value Large Eggs 12ct,,,
WMT_01423,Marketside Organic Bananas 3lb,,,,
WMT_01887,Russet Potatoes 5lb Bag,,,,
WMT_22377,Roma Tomatoes per lb,,,,
WMT_44066,Kraft Mac and Cheese Original 7.25oz,,,,
WMT_32358,Cucumber each,Lemon each,,,
WMT_10343,Great Value All Purpose Flour 5lb,,,,
WMT_29275,Great Value Chicken Broth 32oz,Campbells Tomato Soup 10.75oz,,,
WMT_07472,Heinz Tomato Ketchup 32oz,,,,
WMT_23358,Great Value Sugar Granulated 4lb,Great Value Canola Oil 48oz,,,
WMT_31013,Great Value Penne Pasta 16oz,Marketside Baby Spinach 5oz,Lemon each,,
WMT_20462,Great Value All Purpose Flour 5lb,,,,
WMT_08550,Broccoli Crowns per lb,Garlic Bulb 3-Pack,,,
WMT_42971,Marketside Baby Spinach 5oz,,,,
WMT_37050,Great Value Unsalted Butter 1lb,,,,
WMT_18579,Hunts Diced Tomatoes 14.5oz,Broccoli Crowns per lb,Roma Tomatoes per lb,Yellow Onion 3lb Bag,
WMT_13582,Broccoli Crowns per lb,Baby Carrots 1lb Bag,Kraft Mac and Cheese Original 7.25oz,Great Value All Purpose Flour 5lb,
WMT_17637,Great Value Granola Bars Oats Honey 8ct,,,,
WMT_06039,Great Value 2% Reduced Fat Milk 1 Gal,,,,
WMT_07090,Celery Stalk bunch,,,,
WMT_00822,Great Value Sugar Granulated 4lb,Heinz Tomato Ketchup 32oz,Great Value American Cheese Slices 16oz,,
WMT_42531,Garlic Bulb 3-Pack,Great Value Extra Virgin Olive Oil 17oz,Great Value Canola Oil 48oz,,
WMT_12978,Garlic Bulb 3-Pack,Great Value All Purpose Flour 5lb,,,
WMT_23223,Yellow Onion 3lb Bag,Marketside Organic Bananas 3lb,,,
WMT_30423,Broccoli Crowns per lb,,,,
WMT_28184,Heinz Tomato Ketchup 32oz,,,,
WMT_35931,Hunts Diced Tomatoes 14.5oz,,,,
WMT_07380,Green Bell Pepper each,Marketside Organic Bananas 3lb,,,
WMT_37558,Kraft Mac and Cheese Original 7.25oz,Great Value Canola Oil 48oz,Great Value Long Grain White Rice 5lb,,
WMT_08348,Yellow Onion 3lb Bag,,,,
WMT_07266,Great Value Canola Oil 48oz,Heinz Tomato Ketchup 32oz,,,
WMT_24995,Broccoli Crowns per lb,Marketside Organic Bananas 3lb,,,
WMT_12747,Roma Tomatoes per lb,Daisy Sour Cream 16oz,,,
WMT_16232,Hunts Diced Tomatoes 14.5oz,Garlic Bulb 3-Pack,Russet Potatoes 5lb Bag,,
WMT_15521,Avocado Hass each,Celery Stalk bunch,,,
WMT_15023,Green Bell Pepper each,Great Value Spaghetti 16oz,,,
WMT_26135,Russet Potatoes 5lb Bag,Philadelphia Original Cream Cheese 8oz,,,
WMT_46709,Campbells Tomato Soup 10.75oz,,,,
WMT_40903,Yellow Onion 3lb Bag,,,,
WMT_13300,Great Value Chicken Broth 32oz,,,,
WMT_44567,Lemon each,,,,
WMT_03264,Cucumber each,,,,
WMT_24436,Baby Carrots 1lb Bag,,,,
WMT_42659,Campbells Tomato Soup 10.75oz,,,,
WMT_00946,Garlic Bulb 3-Pack,,,,
WMT_21586,Marketside Baby Spinach 5oz,,,,
WMT_40426,Great Value Sugar Granulated 4lb,Great Value Long Grain White Rice 5lb,,,
WMT_31330,Kraft Mac and Cheese Original 7.25oz,,,,
WMT_42009,Great Value Canola Oil 48oz,,,,
WMT_03559,Great Value All Purpose Flour 5lb,,,,
WMT_30751,Great Value Long Grain White Rice 5lb,,,,
WMT_45530,Lays Classic Potato Chips 8oz,,,,
WMT_22213,Roma Tomatoes per lb,Yellow Onion 3lb Bag,Celery Stalk bunch,,
WMT_43402,Broccoli Crowns per lb,,,,
WMT_41612,Marketside Baby Spinach 5oz,Philadelphia Original Cream Cheese 8oz,,,
WMT_35920,Great Value Sugar Granulated 4lb,,,,
WMT_00841,Great Value Chicken Broth 32oz,Marketside Shredded Cheddar 8oz,,,
WMT_37605,Marketside Baby Spinach 5oz,Great Value Chicken Broth 32oz,,,
WMT_36954,Marketside Organic Bananas 3lb,,,,
WMT_36781,Great Value Canola Oil 48oz,,,,
WMT_14321,Green Bell Pepper each,Daisy Sour Cream 16oz,Tilapia Fillets per lb,,
WMT_49885,Great Value Canola Oil 48oz,,,,
WMT_19904,Marketside Baby Spinach 5oz,,,,
WMT_21621,Marketside Baby Spinach 5oz,Glad ForceFlex Trash Bags 30 Gal 25ct,,,
WMT_18818,Green Bell Pepper each,,,,
WMT_17657,Great Value Spaghetti 16oz,Cucumber each,Garlic Bulb 3-Pack,Marketside Fresh Mozzarella 8oz,
WMT_47760,Celery Stalk bunch,Great Value American Cheese Slices 16oz,,,
WMT_28463,Great Value American Cheese Slices 16oz,Marketside Fresh Mozzarella 8oz,,,
WMT_48324,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_33598,Great Value Spaghetti 16oz,Hunts Diced Tomatoes 14.5oz,,,
WMT_47797,Great Value Penne Pasta 16oz,Broccoli Crowns per lb,Lemon each,Marketside Organic Bananas 3lb,
WMT_46812,Great Value Extra Virgin Olive Oil 17oz,,,,
WMT_28101,Green Bell Pepper each,,,,
WMT_38518,Marketside Baby Spinach 5oz,Hunts Diced Tomatoes 14.5oz,Great Value Penne Pasta 16oz,Philadelphia Original Cream Cheese 8oz,
WMT_41233,Avocado Hass each,,,,
WMT_15662,Great Value Long Grain White Rice 5lb,,,,
WMT_19260,Green Bell Pepper each,Lemon each,,,
WMT_16023,Atlantic Salmon Fillet per lb,,,,
WMT_33205,Lemon each,,,,
WMT_11712,Campbells Tomato Soup 10.75oz,,,,
WMT_44005,Campbells Tomato Soup 10.75oz,,,,
WMT_40139,Avocado Hass each,Great Value Extra Virgin Olive Oil 17oz,Great Value 2% Reduced Fat Milk 1 Gal,,
WMT_04564,Lemon each,,,,
WMT_23022,Green Bell Pepper each,,,,
WMT_16357,Marketside Baby Spinach 5oz,,,,
WMT_13619,Baby Carrots 1lb Bag,Quaker Old Fashioned Oats 42oz,,,
WMT_12804,Kraft Mac and Cheese Original 7.25oz,Great Value Sugar Granulated 4lb,,,
WMT_26896,Great Value Spaghetti 16oz,Philadelphia Original Cream Cheese 8oz,,,
WMT_06558,Cucumber each,Hunts Diced Tomatoes 14.5oz,Great Value All Purpose Flour 5lb,,
WMT_24571,Garlic Bulb 3-Pack,Marketside Organic Bananas 3lb,,,
WMT_05656,Great Value Large Eggs 12ct,,,,
WMT_39114,Campbells Tomato Soup 10.75oz,Marketside Baby Spinach 5oz,Marketside Organic Bananas 3lb,,
WMT_44240,Great Value 2% Reduced Fat Milk 1 Gal,,,,
WMT_02563,Heinz Tomato Ketchup 32oz,,,,
WMT_38687,Hunts Diced Tomatoes 14.5oz,,,,
WMT_28999,Broccoli Crowns per lb,Baby Carrots 1lb Bag,,,
WMT_31978,Hunts Diced Tomatoes 14.5oz,Great Value Long Grain White Rice 5lb,,,
WMT_40576,Garlic Bulb 3-Pack,Great Value Large Eggs 12ct,,,
WMT_19476,Avocado Hass each,Roma Tomatoes per lb,,,
WMT_17195,Celery Stalk bunch,,,,
WMT_26571,Avocado Hass each,Russet Potatoes 5lb Bag,,,
WMT_31410,Roma Tomatoes per lb,,,,
WMT_46458,Lemon each,,,,
WMT_41270,Hunts Diced Tomatoes 14.5oz,Great Value 2% Reduced Fat Milk 1 Gal,,,
WMT_46086,Marketside Baby Spinach 5oz,,,,
WMT_18079,Russet Potatoes 5lb Bag,,,,
WMT_48136,Hunts Diced Tomatoes 14.5oz,,,,
WMT_17787,Great Value All Purpose Flour 5lb,,,,
WMT_26702,Great Value Whole Milk 1 Gal,,,,
WMT_27481,Marketside Baby Spinach 5oz,Campbells Tomato Soup 10.75oz,Marketside Shredded Cheddar 8oz,Great Value Unsalted Butter 1lb,
WMT_24895,Great Value Penne Pasta 16oz,Great Value Whole Milk 1 Gal,,,
WMT_06466,Celery Stalk bunch,Heinz Tomato Ketchup 32oz,,,
WMT_39604,Marketside Shredded Cheddar 8oz,,,,
WMT_39151,Broccoli Crowns per lb,,,,
WMT_25135,Lemon each,Great Value Extra Virgin Olive Oil 17oz,,,
WMT_10176,Yellow Onion 3lb Bag,,,,
WMT_10813,Great Value Sugar Granulated 4lb,,,,
WMT_47228,Kraft Mac and Cheese Original 7.25oz,,,,
WMT_39985,Celery Stalk bunch,,,,
WMT_35018,Great Value All Purpose Flour 5lb,Tilapia Fillets per lb,,,
WMT_48138,Celery Stalk bunch,,,,
WMT_04687,Great Value Whole Milk 1 Gal,Marketside Fresh Mozzarella 8oz,,,
WMT_28635,Broccoli Crowns per lb,Great Value Spaghetti 16oz,Kraft Mac and Cheese Original 7.25oz,,
WMT_06597,Celery Stalk bunch,,,,
WMT_49037,Great Value Large Eggs 12ct,,,,
WMT_45313,Roma Tomatoes per lb,Kraft Mac and Cheese Original 7.25oz,Marketside Shredded Cheddar 8oz,Great Value Greek Yogurt Plain 32oz,
WMT_01677,Avocado Hass each,Great Value Unsalted Butter 1lb,,,
WMT_03108,Roma Tomatoes per lb,,,,
WMT_36944,Roma Tomatoes per lb,Great Value Extra Virgin Olive Oil 17oz,,,
WMT_22993,Great Value Canola Oil 48oz,,,,
WMT_16986,Lemon each,Marketside Organic Bananas 3lb,,,
WMT_39328,Marketside Organic Bananas 3lb,,,,
WMT_24103,Garlic Bulb 3-Pack,Great Value All Purpose Flour 5lb,Great Value Greek Yogurt Plain 32oz,,
WMT_17279,Celery Stalk bunch,,,,
WMT_23463,Great Value Spaghetti 16oz,Great Value 2% Reduced Fat Milk 1 Gal,,,
WMT_00100,Great Value Canola Oil 48oz,Great Value Greek Yogurt Plain 32oz,,,
WMT_12716,Great Value Penne Pasta 16oz,,,,
WMT_25904,Avocado Hass each,Broccoli Crowns per lb,,,
WMT_32485,Great Value Spaghetti 16oz,Great Value American Cheese Slices 16oz,,,
WMT_19611,Great Value Whole Milk 1 Gal,,,,
WMT_46504,Russet Potatoes 5lb Bag,,,,
WMT_42937,Great Value Chicken Broth 32oz,,,,
WMT_16453,Garlic Bulb 3-Pack,,,,
WMT_10062,Heinz Tomato Ketchup 32oz,,,,
WMT_18990,Baby Carrots 1lb Bag,,,,
WMT_37876,Lemon each,,,,
WMT_19872,Great Value Penne Pasta 16oz,,,,
WMT_07727,Avocado Hass each,Great Value Spaghetti 16oz,Great Value All Purpose Flour 5lb,,
WMT_36288,Avocado Hass each,,,,
WMT_29947,Green Bell Pepper each,,,,
WMT_27409,Broccoli Crowns per lb,Cucumber each,Baby Carrots 1lb Bag,,
WMT_24087,Marketside Baby Spinach 5oz,,,,
WMT_06405,Great Value Long Grain White Rice 5lb,,,,
WMT_33078,Great Value Large Eggs 12ct,Great Value Trash Bags 13 Gal 50ct,Great Value Purified Water 40pk 16.9oz,,
WMT_04508,Marketside Fresh Mozzarella 8oz,,,,
WMT_04306,Great Value Canola Oil 48oz,Amy's Organic Burrito Bean Cheese,,,
WMT_44474,Marketside Organic Bananas 3lb,,,,
WMT_18967,Avocado Hass each,Great Value Whole Milk 1 Gal,,,
WMT_37536,Marketside Shredded Cheddar 8oz,,,,
WMT_31602,Great Value Chicken Broth 32oz,,,,
WMT_46400,Great Value Canola Oil 48oz,,,,
WMT_33383,Great Value Long Grain White Rice 5lb,,,,
WMT_08305,Broccoli Crowns per lb,,,,
WMT_11721,Avocado Hass each,,,,
WMT_05905,Great Value Chicken Broth 32oz,Green Bell Pepper each,Cucumber each,,
WMT_43658,Great Value Spaghetti 16oz,Great Value Greek Yogurt Plain 32oz,,,
WMT_48943,Great Value 2% Reduced Fat Milk 1 Gal,,,,
WMT_48253,Great Value All Purpose Flour 5lb,,,,
WMT_13543,Kraft Mac and Cheese Original 7.25oz,Great Value Whole Milk 1 Gal,,,
WMT_30038,Avocado Hass each,,,,
WMT_37298,Great Value Long Grain White Rice 5lb,,,,
WMT_49863,Great Value Canola Oil 48oz,,,,
WMT_44378,Great Value All Purpose Flour 5lb,,,,
WMT_10939,Great Value Greek Yogurt Plain 32oz,,,,
WMT_47675,Cucumber each,,,,
WMT_36737,Great Value Whole Milk 1 Gal,,,,
WMT_17813,Garlic Bulb 3-Pack,,,,
WMT_49742,Green Bell Pepper each,,,,
WMT_49930,Marketside Baby Spinach 5oz,,,,
WMT_39501,Great Value Canola Oil 48oz,Great Value American Cheese Slices 16oz,,,
WMT_17064,Hunts Diced Tomatoes 14.5oz,Great Value Chicken Broth 32oz,,,
WMT_15137,Yellow Onion 3lb Bag,,,,
WMT_18381,Great Value All Purpose Flour 5lb,,,,
WMT_18715,Cucumber each,,,,
WMT_07705,Yellow Onion 3lb Bag,Great Value Whole Milk 1 Gal,,,
WMT_41778,Great Value Penne Pasta 16oz,,,,
WMT_09857,Cucumber each,Great Value All Purpose Flour 5lb,,,
WMT_18725,Baby Carrots 1lb Bag,Hunts Diced Tomatoes 14.5oz,,,
WMT_10954,Broccoli Crowns per lb,Campbells Tomato Soup 10.75oz,Heinz Tomato Ketchup 32oz,Daisy Sour Cream 16oz,
WMT_47916,Hunts Diced Tomatoes 14.5oz,,,,
WMT_13160,Marketside Baby Spinach 5oz,,,,
WMT_04552,Marketside Organic Bananas 3lb,,,,
WMT_26013,Avocado Hass each,,,,
WMT_30937,Russet Potatoes 5lb Bag,,,,
WMT_45103,Baby Carrots 1lb Bag,Marketside Fresh Mozzarella 8oz,,,
WMT_14433,Broccoli Crowns per lb,Roma Tomatoes per lb,,,
WMT_36486,Broccoli Crowns per lb,Great Value Spaghetti 16oz,,,
WMT_07685,Marketside Organic Bananas 3lb,,,,
WMT_28912,Baby Carrots 1lb Bag,Marketside Organic Bananas 3lb,,,
WMT_19059,Garlic Bulb 3-Pack,,,,
WMT_26696,Green Bell Pepper each,,,,
WMT_26057,Avocado Hass each,Baby Carrots 1lb Bag,,,
WMT_49129,Great Value Spaghetti 16oz,,,,
WMT_48361,Celery Stalk bunch,,,,
WMT_41762,Garlic Bulb 3-Pack,Great Value Spaghetti 16oz,Philadelphia Original Cream Cheese 8oz,,
WMT_03536,Kraft Mac and Cheese Original 7.25oz,,,,
WMT_23188,Yellow Onion 3lb Bag,,,,
WMT_34771,Marketside Baby Spinach 5oz,,,,
WMT_08104,Heinz Tomato Ketchup 32oz,,,,
WMT_13720,Great Value Sugar Granulated 4lb,,,,
WMT_19238,Baby Carrots 1lb Bag,,,,
WMT_02761,Marketside Baby Spinach 5oz,,,,
WMT_47203,Great Value Penne Pasta 16oz,,,,
WMT_18509,Marketside Fresh Mozzarella 8oz,,,,
WMT_37676,Avocado Hass each,,,,
WMT_04373,Kraft Mac and Cheese Original 7.25oz,Yellow Onion 3lb Bag,Marketside Organic Bananas 3lb,,
WMT_00357,Avocado Hass each,,,,
WMT_02587,Yellow Onion 3lb Bag,Great Value 2% Reduced Fat Milk 1 Gal,,,
WMT_09528,Marketside Organic Bananas 3lb,Celery Stalk bunch,,,
WMT_23006,Roma Tomatoes per lb,Great Value Whole Milk 1 Gal,,,
WMT_35894,Campbells Tomato Soup 10.75oz,,,,
WMT_44687,Great Value Canola Oil 48oz,Great Value Long Grain White Rice 5lb,,,
WMT_31921,Celery Stalk bunch,,,,
WMT_25319,Great Value All Purpose Flour 5lb,Great Value Unsalted Butter 1lb,,,
WMT_27794,Great Value Unsalted Butter 1lb,,,,
WMT_09373,Great Value Sugar Granulated 4lb,,,,
WMT_10501,Marketside Baby Spinach 5oz,,,,
WMT_21961,Broccoli Crowns per lb,Great Value Sugar Granulated 4lb,Philadelphia Original Cream Cheese 8oz,,
WMT_10432,Cucumber each,Great Value Penne Pasta 16oz,,,
WMT_30864,Heinz Tomato Ketchup 32oz,Great Value Paper Towels 6 Double Rolls,,,
WMT_17511,Great Value All Purpose Flour 5lb,Broccoli Crowns per lb,Roma Tomatoes per lb,Celery Stalk bunch,
WMT_18252,Great Value Canola Oil 48oz,,,,
WMT_34105,Celery Stalk bunch,Hunts Diced Tomatoes 14.5oz,,,
WMT_08890,Great Value Long Grain White Rice 5lb,,,,
WMT_05439,Russet Potatoes 5lb Bag,Celery Stalk bunch,,,
WMT_41692,Great Value Long Grain White Rice 5lb,,,,
WMT_22105,Hunts Diced Tomatoes 14.5oz,Tilapia Fillets per lb,,,
WMT_19458,Great Value 2% Reduced Fat Milk 1 Gal,,,,
WMT_14298,Russet Potatoes 5lb Bag,,,,
WMT_41420,Green Bell Pepper each,,,,
WMT_07661,Baby Carrots 1lb Bag,Great Value Spaghetti 16oz,,,
WMT_04848,Great Value Greek Yogurt Plain 32oz,,,,
WMT_43976,Great Value Whole Milk 1 Gal,,,,
WMT_19004,Great Value Spaghetti 16oz,Great Value Extra Virgin Olive Oil 17oz,Great Value Sugar Granulated 4lb,,
WMT_04151,Great Value Sugar Granulated 4lb,,,,
WMT_11620,Green Bell Pepper each,,,,
WMT_33568,Heinz Tomato Ketchup 32oz,,,,
WMT_13399,Yellow Onion 3lb Bag,Heinz Tomato Ketchup 32oz,,,
WMT_16631,Marketside Baby Spinach 5oz,,,,
WMT_02220,Avocado Hass each,Great Value Large Eggs 12ct,,,
WMT_48142,Russet Potatoes 5lb Bag,,,,
WMT_42071,Hunts Diced Tomatoes 14.5oz,,,,
WMT_05092,Marketside Organic Bananas 3lb,Marketside Shredded Cheddar 8oz,,,
WMT_18962,Garlic Bulb 3-Pack,,,,
WMT_18864,Hunts Diced Tomatoes 14.5oz,,,,
WMT_15931,Marketside Organic Bananas 3lb,,,,
WMT_49130,Baby Carrots 1lb Bag,Campbells Tomato Soup 10.75oz,,,
WMT_46644,Campbells Tomato Soup 10.75oz,Baby Carrots 1lb Bag,Yellow Onion 3lb Bag,,
WMT_20841,Great Value Spaghetti 16oz,,,,
WMT_21927,Great Value Large Eggs 12ct,,,,
WMT_16070,Broccoli Crowns per lb,Marketside Baby Spinach 5oz,,,
WMT_38622,Green Bell Pepper each,Great Value Large Eggs 12ct,,,
WMT_34691,Philadelphia Original Cream Cheese 8oz,,,,
WMT_46973,Baby Carrots 1lb Bag,,,,
WMT_41365,Green Bell Pepper each,Great Value Canola Oil 48oz,,,
WMT_12017,Daisy Sour Cream 16oz,,,,
WMT_07482,Green Bell Pepper each,Great Value Whole Milk 1 Gal,,,
WMT_32882,Great Value Canola Oil 48oz,,,,
WMT_41739,Cucumber each,Great Value Chicken Broth 32oz,,,
WMT_38574,Green Bell Pepper each,Marketside Baby Spinach 5oz,,,
WMT_46710,Green Bell Pepper each,Hunts Diced Tomatoes 14.5oz,Great Value White Sandwich Bread 20oz,,
WMT_39001,Green Bell Pepper each,Roma Tomatoes per lb,Yellow Onion 3lb Bag,Great Value All Purpose Flour 5lb,Great Value Extra Virgin Olive Oil 17oz
WMT_22126,Celery Stalk bunch,,,,
WMT_05347,Hunts Diced Tomatoes 14.5oz,,,,
WMT_46156,Great Value Dish Soap Original 24oz,,,,
